main_category,sub_category,siteName,name,price,img,link
의류,상의,플리츠마마,에어로라이트 크롭후드 라이트블루,65000원,https://cdn.imweb.me/thumbnail/20210511/00676da40d703.jpg,https://pleatsmama.com/top/?idx=235
의류,상의,플리츠마마,에어로라이트 크롭후드 라이트세이지,65000원,https://cdn.imweb.me/thumbnail/20210511/9b8ab13b6ddc6.jpg,https://pleatsmama.com/top/?idx=232
의류,상의,플리츠마마,에어로라이트 스웻셔츠 라이트블루,53000원,https://cdn.imweb.me/thumbnail/20210511/b39592c18f680.jpg,https://pleatsmama.com/top/?idx=234
의류,상의,플리츠마마,에어로라이트 스웻셔츠 라이트세이지,53000원,https://cdn.imweb.me/thumbnail/20210511/5a420fced3cf2.jpg,https://pleatsmama.com/top/?idx=231
의류,상의,플리츠마마,보틀 맨투맨 그린,69000원,https://cdn.imweb.me/thumbnail/20210511/7036b8d392819.png,https://pleatsmama.com/top/?idx=219
의류,상의,플리츠마마,보틀 맨투맨 벚꽃핑크,69000원,https://cdn.imweb.me/thumbnail/20210511/8673a8a3dd4aa.png,https://pleatsmama.com/top/?idx=226
의류,상의,플리츠마마,모달와플 집업세트,97000원,https://cdn.imweb.me/thumbnail/20210511/d9ed9e8ea2e92.png,https://pleatsmama.com/top/?idx=220
의류,상의,플리츠마마,보틀니트 크롭후드 서울 스카이블루,88000원,https://cdn.imweb.me/thumbnail/20210513/7dbf74bca0903.png,https://pleatsmama.com/top/?idx=216
의류,상의,플리츠마마,보틀니트 크롭후드 벚꽃핑크,88000원,https://cdn.imweb.me/thumbnail/20210513/49b681cbcf2db.png,https://pleatsmama.com/top/?idx=214
의류,상의,플리츠마마,[Limited] 제주 폴로니트티(3color),79000원,https://cdn.imweb.me/thumbnail/20210513/ea97c6f17a250.jpg,https://pleatsmama.com/top/?idx=129
의류,상의,플리츠마마,[Limited]  제주 리사이클 티셔츠(3color),59000원,https://cdn.imweb.me/thumbnail/20210513/d0d7c99d0b104.jpg,https://pleatsmama.com/top/?idx=139
의류,상의,플리츠마마,리사이클 캐시미어 스웨터 금능 마린블루,195000원,https://cdn.imweb.me/thumbnail/20210513/d8876ecc75b50.jpg,https://pleatsmama.com/top/?idx=190
의류,상의,플리츠마마,리사이클 캐시미어 스웨터 가파도 청보리 그린,195000원,https://cdn.imweb.me/thumbnail/20210513/ccfd46593ac2c.jpg,https://pleatsmama.com/top/?idx=191
의류,하의,플리츠마마,에어로라이트 조거팬츠 라이트블루,67500원,https://cdn.imweb.me/thumbnail/20210511/ce3c5fa312b97.jpg,https://pleatsmama.com/shop-bottom/?idx=233
의류,하의,플리츠마마,에어로라이트 조거팬츠 라이트세이지,67500원,https://cdn.imweb.me/thumbnail/20210511/7854d7bbeea37.jpg,https://pleatsmama.com/shop-bottom/?idx=230
의류,하의,플리츠마마,모달와플 집업세트,97000원,https://cdn.imweb.me/thumbnail/20210511/d9ed9e8ea2e92.png,https://pleatsmama.com/shop-bottom/?idx=220
의류,하의,플리츠마마,보틀 파워핏 7부 레깅스 블랙,57000원,https://cdn.imweb.me/thumbnail/20210511/aa652ece09f97.png,https://pleatsmama.com/shop-bottom/?idx=221
의류,하의,플리츠마마,보틀 파워핏 7부 레깅스 세이지,57000원,https://cdn.imweb.me/thumbnail/20210511/21afe2a52d93a.png,https://pleatsmama.com/shop-bottom/?idx=222
의류,하의,플리츠마마,보틀 파워핏 7부 레깅스 틸블루,57000원,https://cdn.imweb.me/thumbnail/20210511/e9ae8ccf85154.png,https://pleatsmama.com/shop-bottom/?idx=223
의류,하의,플리츠마마,보틀니트 조거팬츠 서울 스카이블루,78000원,https://cdn.imweb.me/thumbnail/20210513/e7a722ca4123e.png,https://pleatsmama.com/shop-bottom/?idx=218
의류,하의,플리츠마마,보틀니트 조거팬츠 벚꽃핑크,78000원,https://cdn.imweb.me/thumbnail/20210513/24a799bd0fe17.png,https://pleatsmama.com/shop-bottom/?idx=215
의류,기타,플리츠마마,리사이클 캐시미어 빅 머플러 제주 한라눈꽃 크림,97000원,https://cdn.imweb.me/thumbnail/20210513/64556b47f566d.jpg,https://pleatsmama.com/71/?idx=189
의류,기타,플리츠마마,리사이클 캐시미어 빅 머플러 제주 수국 핑크,97000원,https://cdn.imweb.me/thumbnail/20210513/7c3624abe59d6.jpg,https://pleatsmama.com/71/?idx=187
의류,기타,플리츠마마,리사이클 캐시미어 빅 머플러 제주 유채 옐로우,97000원,https://cdn.imweb.me/thumbnail/20210513/1c420da2d2c8d.jpg,https://pleatsmama.com/71/?idx=188
의류,기타,플리츠마마,추자요,29500원,https://cdn.imweb.me/thumbnail/20210513/bdda77932284e.jpg,https://pleatsmama.com/blanket/?idx=171
